date,home,result,away
13-08-2022,Arsenal,4 - 2,13-08-2022
27-08-2022,Arsenal,2 - 1,27-08-2022
31-08-2022,Arsenal,2 - 1,31-08-2022
01-10-2022,Arsenal,3 - 1,01-10-2022
09-10-2022,Arsenal,3 - 2,09-10-2022
30-10-2022,Arsenal,5 - 0,30-10-2022
26-12-2022,Arsenal,3 - 1,26-12-2022
03-01-2023,Arsenal,0 - 0,03-01-2023
22-01-2023,Arsenal,3 - 2,22-01-2023
05-08-2022,Crystal Palace,0 - 2,05-08-2022
20-08-2022,Bournemouth,0 - 3,20-08-2022
04-09-2022,Man United,3 - 1,04-09-2022
18-09-2022,Brentford,0 - 3,18-09-2022
16-10-2022,Leeds,0 - 1,16-10-2022
23-10-2022,Southampton,1 - 1,23-10-2022
06-11-2022,Chelsea,0 - 1,06-11-2022
12-11-2022,Wolves,0 - 2,12-11-2022
31-12-2022,Brighton,2 - 4,31-12-2022
15-01-2023,Tottenham,0 - 2,15-01-2023
04-02-2023,Everton,? - ?,04-02-2023
13-08-2022,Aston Villa,2 - 1,13-08-2022
28-08-2022,Aston Villa,0 - 1,28-08-2022
03-09-2022,Aston Villa,1 - 1,03-09-2022
16-09-2022,Aston Villa,1 - 0,16-09-2022
16-10-2022,Aston Villa,0 - 2,16-10-2022
23-10-2022,Aston Villa,4 - 0,23-10-2022
06-11-2022,Aston Villa,3 - 1,06-11-2022
26-12-2022,Aston Villa,1 - 3,26-12-2022
04-01-2023,Aston Villa,1 - 1,04-01-2023
13-01-2023,Aston Villa,2 - 1,13-01-2023
04-02-2023,Aston Villa,? - ?,04-02-2023
06-08-2022,Bournemouth,2 - 0,06-08-2022
20-08-2022,Crystal Palace,3 - 1,20-08-2022
31-08-2022,Arsenal,2 - 1,31-08-2022
02-10-2022,Leeds,0 - 0,02-10-2022
10-10-2022,Nott'm Forest,1 - 1,10-10-2022
20-10-2022,Fulham,3 - 0,20-10-2022
29-10-2022,Newcastle,4 - 0,29-10-2022
13-11-2022,Brighton,1 - 2,13-11-2022
01-01-2023,Tottenham,0 - 2,01-01-2023
21-01-2023,Southampton,0 - 1,21-01-2023
06-08-2022,Bournemouth,2 - 0,06-08-2022
20-08-2022,Bournemouth,0 - 3,20-08-2022
31-08-2022,Bournemouth,0 - 0,31-08-2022
01-10-2022,Bournemouth,0 - 0,01-10-2022
08-10-2022,Bournemouth,2 - 1,08-10-2022
19-10-2022,Bournemouth,0 - 1,19-10-2022
29-10-2022,Bournemouth,2 - 3,29-10-2022
12-11-2022,Bournemouth,3 - 0,12-11-2022
31-12-2022,Bournemouth,0 - 2,31-12-2022
21-01-2023,Bournemouth,1 - 1,21-01-2023
13-08-2022,Man City,4 - 0,13-08-2022
27-08-2022,Liverpool,9 - 0,27-08-2022
03-09-2022,Nott'm Forest,2 - 3,03-09-2022
17-09-2022,Newcastle,1 - 1,17-09-2022
15-10-2022,Fulham,2 - 2,15-10-2022
24-10-2022,West Ham,2 - 0,24-10-2022
05-11-2022,Leeds,4 - 3,05-11-2022
27-12-2022,Chelsea,2 - 0,27-12-2022
03-01-2023,Man United,3 - 0,03-01-2023
14-01-2023,Brentford,2 - 0,14-01-2023
04-02-2023,Brighton,? - ?,04-02-2023
13-08-2022,Brentford,4 - 0,13-08-2022
27-08-2022,Brentford,1 - 1,27-08-2022
03-09-2022,Brentford,5 - 2,03-09-2022
18-09-2022,Brentford,0 - 3,18-09-2022
14-10-2022,Brentford,2 - 0,14-10-2022
19-10-2022,Brentford,0 - 0,19-10-2022
29-10-2022,Brentford,1 - 1,29-10-2022
26-12-2022,Brentford,2 - 2,26-12-2022
02-01-2023,Brentford,3 - 1,02-01-2023
14-01-2023,Brentford,2 - 0,14-01-2023
04-02-2023,Brentford,? - ?,04-02-2023
07-08-2022,Leicester,2 - 2,07-08-2022
20-08-2022,Fulham,3 - 2,20-08-2022
30-08-2022,Crystal Palace,1 - 1,30-08-2022
01-10-2022,Bournemouth,0 - 0,01-10-2022
08-10-2022,Newcastle,5 - 1,08-10-2022
23-10-2022,Aston Villa,4 - 0,23-10-2022
05-11-2022,Nott'm Forest,2 - 2,05-11-2022
12-11-2022,Man City,1 - 2,12-11-2022
30-12-2022,West Ham,0 - 2,30-12-2022
22-01-2023,Leeds,0 - 0,22-01-2023
13-08-2022,Brighton,0 - 0,13-08-2022
27-08-2022,Brighton,1 - 0,27-08-2022
04-09-2022,Brighton,5 - 2,04-09-2022
08-10-2022,Brighton,0 - 1,08-10-2022
18-10-2022,Brighton,0 - 0,18-10-2022
29-10-2022,Brighton,4 - 1,29-10-2022
13-11-2022,Brighton,1 - 2,13-11-2022
31-12-2022,Brighton,2 - 4,31-12-2022
14-01-2023,Brighton,3 - 0,14-01-2023
04-02-2023,Brighton,? - ?,04-02-2023
07-08-2022,Man United,1 - 2,07-08-2022
21-08-2022,West Ham,0 - 2,21-08-2022
30-08-2022,Fulham,2 - 1,30-08-2022
01-10-2022,Liverpool,3 - 3,01-10-2022
14-10-2022,Brentford,2 - 0,14-10-2022
22-10-2022,Man City,3 - 1,22-10-2022
05-11-2022,Wolves,2 - 3,05-11-2022
26-12-2022,Southampton,1 - 3,26-12-2022
03-01-2023,Everton,1 - 4,03-01-2023
21-01-2023,Leicester,2 - 2,21-01-2023
14-08-2022,Chelsea,2 - 2,14-08-2022
27-08-2022,Chelsea,2 - 1,27-08-2022
03-09-2022,Chelsea,2 - 1,03-09-2022
08-10-2022,Chelsea,3 - 0,08-10-2022
22-10-2022,Chelsea,1 - 1,22-10-2022
06-11-2022,Chelsea,0 - 1,06-11-2022
27-12-2022,Chelsea,2 - 0,27-12-2022
05-01-2023,Chelsea,0 - 1,05-01-2023
15-01-2023,Chelsea,1 - 0,15-01-2023
03-02-2023,Chelsea,? - ?,03-02-2023
06-08-2022,Everton,0 - 1,06-08-2022
21-08-2022,Leeds,3 - 0,21-08-2022
30-08-2022,Southampton,2 - 1,30-08-2022
01-10-2022,Crystal Palace,1 - 2,01-10-2022
16-10-2022,Aston Villa,0 - 2,16-10-2022
19-10-2022,Brentford,0 - 0,19-10-2022
29-10-2022,Brighton,4 - 1,29-10-2022
12-11-2022,Newcastle,1 - 0,12-11-2022
01-01-2023,Nott'm Forest,1 - 1,01-01-2023
12-01-2023,Fulham,2 - 1,12-01-2023
21-01-2023,Liverpool,0 - 0,21-01-2023
05-08-2022,Crystal Palace,0 - 2,05-08-2022
20-08-2022,Crystal Palace,3 - 1,20-08-2022
30-08-2022,Crystal Palace,1 - 1,30-08-2022
01-10-2022,Crystal Palace,1 - 2,01-10-2022
09-10-2022,Crystal Palace,2 - 1,09-10-2022
18-10-2022,Crystal Palace,2 - 1,18-10-2022
29-10-2022,Crystal Palace,1 - 0,29-10-2022
26-12-2022,Crystal Palace,0 - 3,26-12-2022
04-01-2023,Crystal Palace,0 - 4,04-01-2023
18-01-2023,Crystal Palace,1 - 1,18-01-2023
21-01-2023,Crystal Palace,0 - 0,21-01-2023
15-08-2022,Liverpool,1 - 1,15-08-2022
27-08-2022,Man City,4 - 2,27-08-2022
03-09-2022,Newcastle,0 - 0,03-09-2022
15-10-2022,Leicester,0 - 0,15-10-2022
22-10-2022,Everton,3 - 0,22-10-2022
06-11-2022,West Ham,1 - 2,06-11-2022
12-11-2022,Nott'm Forest,1 - 0,12-11-2022
31-12-2022,Bournemouth,0 - 2,31-12-2022
15-01-2023,Chelsea,1 - 0,15-01-2023
04-02-2023,Man United,? - ?,04-02-2023
06-08-2022,Everton,0 - 1,06-08-2022
20-08-2022,Everton,1 - 1,20-08-2022
03-09-2022,Everton,0 - 0,03-09-2022
18-09-2022,Everton,1 - 0,18-09-2022
09-10-2022,Everton,1 - 2,09-10-2022
22-10-2022,Everton,3 - 0,22-10-2022
05-11-2022,Everton,0 - 2,05-11-2022
26-12-2022,Everton,1 - 2,26-12-2022
03-01-2023,Everton,1 - 4,03-01-2023
14-01-2023,Everton,1 - 2,14-01-2023
04-02-2023,Everton,? - ?,04-02-2023
13-08-2022,Aston Villa,2 - 1,13-08-2022
27-08-2022,Brentford,1 - 1,27-08-2022
30-08-2022,Leeds,1 - 1,30-08-2022
01-10-2022,Southampton,1 - 2,01-10-2022
15-10-2022,Tottenham,2 - 0,15-10-2022
19-10-2022,Newcastle,1 - 0,19-10-2022
29-10-2022,Fulham,0 - 0,29-10-2022
12-11-2022,Bournemouth,3 - 0,12-11-2022
31-12-2022,Man City,1 - 1,31-12-2022
21-01-2023,West Ham,2 - 0,21-01-2023
06-08-2022,Fulham,2 - 2,06-08-2022
20-08-2022,Fulham,3 - 2,20-08-2022
30-08-2022,Fulham,2 - 1,30-08-2022
01-10-2022,Fulham,1 - 4,01-10-2022
15-10-2022,Fulham,2 - 2,15-10-2022
20-10-2022,Fulham,3 - 0,20-10-2022
29-10-2022,Fulham,0 - 0,29-10-2022
13-11-2022,Fulham,1 - 2,13-11-2022
31-12-2022,Fulham,2 - 1,31-12-2022
12-01-2023,Fulham,2 - 1,12-01-2023
23-01-2023,Fulham,0 - 1,23-01-2023
13-08-2022,Wolves,0 - 0,13-08-2022
27-08-2022,Arsenal,2 - 1,27-08-2022
03-09-2022,Tottenham,2 - 1,03-09-2022
16-09-2022,Nott'm Forest,2 - 3,16-09-2022
09-10-2022,West Ham,3 - 1,09-10-2022
23-10-2022,Leeds,2 - 3,23-10-2022
05-11-2022,Man City,2 - 1,05-11-2022
26-12-2022,Crystal Palace,0 - 3,26-12-2022
03-01-2023,Leicester,0 - 1,03-01-2023
15-01-2023,Newcastle,1 - 0,15-01-2023
03-02-2023,Chelsea,? - ?,03-02-2023
06-08-2022,Leeds,2 - 1,06-08-2022
21-08-2022,Leeds,3 - 0,21-08-2022
30-08-2022,Leeds,1 - 1,30-08-2022
02-10-2022,Leeds,0 - 0,02-10-2022
16-10-2022,Leeds,0 - 1,16-10-2022
23-10-2022,Leeds,2 - 3,23-10-2022
05-11-2022,Leeds,4 - 3,05-11-2022
28-12-2022,Leeds,1 - 3,28-12-2022
04-01-2023,Leeds,2 - 2,04-01-2023
22-01-2023,Leeds,0 - 0,22-01-2023
13-08-2022,Southampton,2 - 2,13-08-2022
27-08-2022,Brighton,1 - 0,27-08-2022
03-09-2022,Brentford,5 - 2,03-09-2022
09-10-2022,Crystal Palace,2 - 1,09-10-2022
20-10-2022,Leicester,2 - 0,20-10-2022
29-10-2022,Liverpool,1 - 2,29-10-2022
12-11-2022,Tottenham,4 - 3,12-11-2022
31-12-2022,Newcastle,0 - 0,31-12-2022
13-01-2023,Aston Villa,2 - 1,13-01-2023
05-02-2023,Nott'm Forest,? - ?,05-02-2023
07-08-2022,Leicester,2 - 2,07-08-2022
20-08-2022,Leicester,1 - 2,20-08-2022
01-09-2022,Leicester,0 - 1,01-09-2022
03-10-2022,Leicester,4 - 0,03-10-2022
15-10-2022,Leicester,0 - 0,15-10-2022
20-10-2022,Leicester,2 - 0,20-10-2022
29-10-2022,Leicester,0 - 1,29-10-2022
26-12-2022,Leicester,0 - 3,26-12-2022
03-01-2023,Leicester,0 - 1,03-01-2023
21-01-2023,Leicester,2 - 2,21-01-2023
13-08-2022,Arsenal,4 - 2,13-08-2022
27-08-2022,Chelsea,2 - 1,27-08-2022
04-09-2022,Brighton,5 - 2,04-09-2022
17-09-2022,Tottenham,6 - 2,17-09-2022
08-10-2022,Bournemouth,2 - 1,08-10-2022
23-10-2022,Wolves,0 - 4,23-10-2022
05-11-2022,Everton,0 - 2,05-11-2022
12-11-2022,West Ham,0 - 2,12-11-2022
30-12-2022,Liverpool,2 - 1,30-12-2022
14-01-2023,Nott'm Forest,2 - 0,14-01-2023
04-02-2023,Aston Villa,? - ?,04-02-2023
15-08-2022,Liverpool,1 - 1,15-08-2022
27-08-2022,Liverpool,9 - 0,27-08-2022
31-08-2022,Liverpool,2 - 1,31-08-2022
01-10-2022,Liverpool,3 - 3,01-10-2022
16-10-2022,Liverpool,1 - 0,16-10-2022
19-10-2022,Liverpool,1 - 0,19-10-2022
29-10-2022,Liverpool,1 - 2,29-10-2022
12-11-2022,Liverpool,3 - 1,12-11-2022
30-12-2022,Liverpool,2 - 1,30-12-2022
21-01-2023,Liverpool,0 - 0,21-01-2023
06-08-2022,Fulham,2 - 2,06-08-2022
22-08-2022,Man United,2 - 1,22-08-2022
03-09-2022,Everton,0 - 0,03-09-2022
09-10-2022,Arsenal,3 - 2,09-10-2022
22-10-2022,Nott'm Forest,1 - 0,22-10-2022
06-11-2022,Tottenham,1 - 2,06-11-2022
26-12-2022,Aston Villa,1 - 3,26-12-2022
02-01-2023,Brentford,3 - 1,02-01-2023
14-01-2023,Brighton,3 - 0,14-01-2023
04-02-2023,Wolves,? - ?,04-02-2023
13-08-2022,Man City,4 - 0,13-08-2022
27-08-2022,Man City,4 - 2,27-08-2022
31-08-2022,Man City,6 - 0,31-08-2022
02-10-2022,Man City,6 - 3,02-10-2022
08-10-2022,Man City,4 - 0,08-10-2022
22-10-2022,Man City,3 - 1,22-10-2022
05-11-2022,Man City,2 - 1,05-11-2022
12-11-2022,Man City,1 - 2,12-11-2022
31-12-2022,Man City,1 - 1,31-12-2022
19-01-2023,Man City,4 - 2,19-01-2023
22-01-2023,Man City,3 - 0,22-01-2023
07-08-2022,West Ham,0 - 2,07-08-2022
21-08-2022,Newcastle,3 - 3,21-08-2022
03-09-2022,Aston Villa,1 - 1,03-09-2022
17-09-2022,Wolves,0 - 3,17-09-2022
16-10-2022,Liverpool,1 - 0,16-10-2022
29-10-2022,Leicester,0 - 1,29-10-2022
28-12-2022,Leeds,1 - 3,28-12-2022
05-01-2023,Chelsea,0 - 1,05-01-2023
14-01-2023,Man United,2 - 1,14-01-2023
05-02-2023,Tottenham,? - ?,05-02-2023
07-08-2022,Man United,1 - 2,07-08-2022
22-08-2022,Man United,2 - 1,22-08-2022
04-09-2022,Man United,3 - 1,04-09-2022
16-10-2022,Man United,0 - 0,16-10-2022
19-10-2022,Man United,2 - 0,19-10-2022
30-10-2022,Man United,1 - 0,30-10-2022
27-12-2022,Man United,3 - 0,27-12-2022
03-01-2023,Man United,3 - 0,03-01-2023
14-01-2023,Man United,2 - 1,14-01-2023
04-02-2023,Man United,? - ?,04-02-2023
13-08-2022,Brentford,4 - 0,13-08-2022
27-08-2022,Southampton,0 - 1,27-08-2022
01-09-2022,Leicester,0 - 1,01-09-2022
02-10-2022,Man City,6 - 3,02-10-2022
09-10-2022,Everton,1 - 2,09-10-2022
22-10-2022,Chelsea,1 - 1,22-10-2022
06-11-2022,Aston Villa,3 - 1,06-11-2022
13-11-2022,Fulham,1 - 2,13-11-2022
31-12-2022,Wolves,0 - 1,31-12-2022
18-01-2023,Crystal Palace,1 - 1,18-01-2023
22-01-2023,Arsenal,3 - 2,22-01-2023
06-08-2022,Newcastle,2 - 0,06-08-2022
21-08-2022,Newcastle,3 - 3,21-08-2022
03-09-2022,Newcastle,0 - 0,03-09-2022
17-09-2022,Newcastle,1 - 1,17-09-2022
08-10-2022,Newcastle,5 - 1,08-10-2022
19-10-2022,Newcastle,1 - 0,19-10-2022
29-10-2022,Newcastle,4 - 0,29-10-2022
12-11-2022,Newcastle,1 - 0,12-11-2022
31-12-2022,Newcastle,0 - 0,31-12-2022
15-01-2023,Newcastle,1 - 0,15-01-2023
04-02-2023,Newcastle,? - ?,04-02-2023
13-08-2022,Brighton,0 - 0,13-08-2022
28-08-2022,Wolves,1 - 1,28-08-2022
31-08-2022,Liverpool,2 - 1,31-08-2022
01-10-2022,Fulham,1 - 4,01-10-2022
16-10-2022,Man United,0 - 0,16-10-2022
23-10-2022,Tottenham,1 - 2,23-10-2022
06-11-2022,Southampton,1 - 4,06-11-2022
26-12-2022,Leicester,0 - 3,26-12-2022
03-01-2023,Arsenal,0 - 0,03-01-2023
21-01-2023,Crystal Palace,0 - 0,21-01-2023
14-08-2022,Nott'm Forest,1 - 0,14-08-2022
28-08-2022,Nott'm Forest,0 - 2,28-08-2022
03-09-2022,Nott'm Forest,2 - 3,03-09-2022
16-09-2022,Nott'm Forest,2 - 3,16-09-2022
10-10-2022,Nott'm Forest,1 - 1,10-10-2022
22-10-2022,Nott'm Forest,1 - 0,22-10-2022
05-11-2022,Nott'm Forest,2 - 2,05-11-2022
12-11-2022,Nott'm Forest,1 - 0,12-11-2022
01-01-2023,Nott'm Forest,1 - 1,01-01-2023
14-01-2023,Nott'm Forest,2 - 0,14-01-2023
05-02-2023,Nott'm Forest,? - ?,05-02-2023
06-08-2022,Newcastle,2 - 0,06-08-2022
20-08-2022,Everton,1 - 1,20-08-2022
31-08-2022,Man City,6 - 0,31-08-2022
03-10-2022,Leicester,4 - 0,03-10-2022
15-10-2022,Wolves,1 - 0,15-10-2022
18-10-2022,Brighton,0 - 0,18-10-2022
30-10-2022,Arsenal,5 - 0,30-10-2022
27-12-2022,Man United,3 - 0,27-12-2022
04-01-2023,Southampton,0 - 1,04-01-2023
21-01-2023,Bournemouth,1 - 1,21-01-2023
13-08-2022,Southampton,2 - 2,13-08-2022
27-08-2022,Southampton,0 - 1,27-08-2022
30-08-2022,Southampton,2 - 1,30-08-2022
01-10-2022,Southampton,1 - 2,01-10-2022
16-10-2022,Southampton,1 - 1,16-10-2022
23-10-2022,Southampton,1 - 1,23-10-2022
06-11-2022,Southampton,1 - 4,06-11-2022
26-12-2022,Southampton,1 - 3,26-12-2022
04-01-2023,Southampton,0 - 1,04-01-2023
21-01-2023,Southampton,0 - 1,21-01-2023
06-08-2022,Tottenham,4 - 1,06-08-2022
20-08-2022,Leicester,1 - 2,20-08-2022
03-09-2022,Wolves,1 - 0,03-09-2022
16-09-2022,Aston Villa,1 - 0,16-09-2022
08-10-2022,Man City,4 - 0,08-10-2022
19-10-2022,Bournemouth,0 - 1,19-10-2022
29-10-2022,Crystal Palace,1 - 0,29-10-2022
12-11-2022,Liverpool,3 - 1,12-11-2022
31-12-2022,Fulham,2 - 1,31-12-2022
14-01-2023,Everton,1 - 2,14-01-2023
04-02-2023,Brentford,? - ?,04-02-2023
06-08-2022,Tottenham,4 - 1,06-08-2022
20-08-2022,Tottenham,1 - 0,20-08-2022
03-09-2022,Tottenham,2 - 1,03-09-2022
17-09-2022,Tottenham,6 - 2,17-09-2022
15-10-2022,Tottenham,2 - 0,15-10-2022
23-10-2022,Tottenham,1 - 2,23-10-2022
06-11-2022,Tottenham,1 - 2,06-11-2022
12-11-2022,Tottenham,4 - 3,12-11-2022
01-01-2023,Tottenham,0 - 2,01-01-2023
15-01-2023,Tottenham,0 - 2,15-01-2023
05-02-2023,Tottenham,? - ?,05-02-2023
14-08-2022,Chelsea,2 - 2,14-08-2022
28-08-2022,Nott'm Forest,0 - 2,28-08-2022
31-08-2022,West Ham,1 - 1,31-08-2022
01-10-2022,Arsenal,3 - 1,01-10-2022
08-10-2022,Brighton,0 - 1,08-10-2022
19-10-2022,Man United,2 - 0,19-10-2022
29-10-2022,Bournemouth,2 - 3,29-10-2022
26-12-2022,Brentford,2 - 2,26-12-2022
04-01-2023,Crystal Palace,0 - 4,04-01-2023
19-01-2023,Man City,4 - 2,19-01-2023
23-01-2023,Fulham,0 - 1,23-01-2023
07-08-2022,West Ham,0 - 2,07-08-2022
21-08-2022,West Ham,0 - 2,21-08-2022
31-08-2022,West Ham,1 - 1,31-08-2022
01-10-2022,West Ham,2 - 0,01-10-2022
09-10-2022,West Ham,3 - 1,09-10-2022
24-10-2022,West Ham,2 - 0,24-10-2022
06-11-2022,West Ham,1 - 2,06-11-2022
12-11-2022,West Ham,0 - 2,12-11-2022
30-12-2022,West Ham,0 - 2,30-12-2022
21-01-2023,West Ham,2 - 0,21-01-2023
14-08-2022,Nott'm Forest,1 - 0,14-08-2022
28-08-2022,Aston Villa,0 - 1,28-08-2022
03-09-2022,Chelsea,2 - 1,03-09-2022
18-09-2022,Everton,1 - 0,18-09-2022
16-10-2022,Southampton,1 - 1,16-10-2022
19-10-2022,Liverpool,1 - 0,19-10-2022
30-10-2022,Man United,1 - 0,30-10-2022
26-12-2022,Arsenal,3 - 1,26-12-2022
04-01-2023,Leeds,2 - 2,04-01-2023
14-01-2023,Wolves,1 - 0,14-01-2023
04-02-2023,Newcastle,? - ?,04-02-2023
13-08-2022,Wolves,0 - 0,13-08-2022
28-08-2022,Wolves,1 - 1,28-08-2022
03-09-2022,Wolves,1 - 0,03-09-2022
17-09-2022,Wolves,0 - 3,17-09-2022
15-10-2022,Wolves,1 - 0,15-10-2022
23-10-2022,Wolves,0 - 4,23-10-2022
05-11-2022,Wolves,2 - 3,05-11-2022
12-11-2022,Wolves,0 - 2,12-11-2022
31-12-2022,Wolves,0 - 1,31-12-2022
14-01-2023,Wolves,1 - 0,14-01-2023
04-02-2023,Wolves,? - ?,04-02-2023
06-08-2022,Leeds,2 - 1,06-08-2022
20-08-2022,Tottenham,1 - 0,20-08-2022
31-08-2022,Bournemouth,0 - 0,31-08-2022
01-10-2022,West Ham,2 - 0,01-10-2022
08-10-2022,Chelsea,3 - 0,08-10-2022
18-10-2022,Crystal Palace,2 - 1,18-10-2022
29-10-2022,Brentford,1 - 1,29-10-2022
26-12-2022,Everton,1 - 2,26-12-2022
04-01-2023,Aston Villa,1 - 1,04-01-2023
22-01-2023,Man City,3 - 0,22-01-2023
